Cell_ID	Cluster_PSE	Pseudotime_PSE
SLX_14259_i704_i502	5	1.600256009
SLX_17313_i727_i521	2	1.608888613
SLX_14251_i706_i503	4	1.612251443
SLX_14252_i706_i504	5	1.613726568
SLX_14252_i705_i506	4	1.63699762
SLX_17313_i707_i510	2	1.638917613
SLX_14254_i711_i502	5	1.653310152
SLX_12100_i711_i506	5	1.656404451
SLX_14253_i703_i507	5	1.692383216
SLX_14253_i711_i507	4	1.695888352
SLX_14253_i711_i517	4	1.703976904
SLX_14255_i701_i504	3	1.704504272
SLX_14254_i709_i502	9	1.705668589
SLX_17313_i718_i520	2	1.715789222
SLX_14253_i702_i508	5	1.734037472
SLX_17313_i727_i515	2	1.763689235
SLX_12100_i704_i503	4	1.778844138
SLX_14253_i711_i503	9	1.803525583
SLX_17311_i721_i521	9	1.953420563
SLX_14254_i708_i502	9	1.957798672
SLX_14251_i708_i502	5	2.262331296
SLX_17313_i710_i502	2	2.282926236
SLX_14255_i701_i508	5	2.313557602
SLX_14251_i708_i508	5	2.317748843
SLX_12100_i702_i507	5	2.337060737
SLX_14253_i702_i505	4	2.366970049
SLX_14259_i721_i517	5	2.370645721
SLX_12100_i708_i507	5	2.388567516
SLX_17311_i712_i503	2	2.505307885
SLX_17311_i729_i522	4	2.835093477
SLX_17311_i718_i522	5	2.871552289
SLX_17312_i714_i510	2	3.061272266
SLX_14252_i705_i504	4	3.397655381
SLX_14259_i702_i510	5	3.418861799
SLX_14259_i706_i502	4	3.445971119
SLX_14251_i707_i503	4	3.454441829
SLX_14259_i718_i518	2	3.965900909
SLX_14251_i705_i502	4	3.981433875
SLX_14259_i701_i507	4	3.984405872
SLX_14252_i701_i505	4	4.001223835
SLX_17313_i704_i508	2	4.226597031
SLX_17313_i729_i522	4	4.253786819
SLX_17313_i704_i502	2	4.494268855
SLX_14252_i706_i505	4	4.510957885
SLX_17313_i714_i503	2	4.520923862
SLX_14259_i721_i513	5	4.565907365
SLX_14253_i709_i505	4	5.083516738
SLX_14259_i712_i503	5	5.587826511
SLX_14254_i707_i517	5	5.597995912
SLX_14259_i711_i506	4	5.59894579
SLX_14254_i710_i506	4	5.607590117
SLX_14251_i705_i506	4	5.651177785
SLX_14259_i702_i502	5	5.655027429
SLX_14254_i708_i508	4	6.181867672
SLX_14252_i707_i505	4	6.19345895
SLX_14251_i707_i506	4	6.21855329
SLX_17311_i711_i507	2	6.500536143
SLX_17311_i719_i517	2	6.536505384
SLX_17311_i716_i521	2	6.583389831
SLX_17313_i711_i508	4	6.700665965
SLX_14251_i702_i504	4	6.758001871
SLX_12100_i707_i502	5	6.766869249
SLX_12100_i709_i506	4	6.807672764
SLX_14259_i701_i502	5	7.242747487
SLX_14259_i726_i516	2	7.263089151
SLX_14252_i708_i504	4	7.366562811
SLX_14253_i704_i508	5	7.836841872
SLX_14259_i729_i515	2	7.847185513
SLX_17311_i728_i513	4	7.85400532
SLX_14259_i727_i522	2	7.882412352
SLX_17311_i711_i511	2	7.882458591
SLX_14253_i703_i508	4	7.895298426
SLX_14259_i711_i507	5	7.920794964
SLX_17313_i703_i507	4	8.457272567
SLX_14259_i707_i508	5	8.46269963
SLX_14259_i704_i511	5	8.479801218
SLX_17312_i721_i516	5	8.528267177
SLX_14259_i728_i517	5	8.548870455
SLX_17311_i721_i517	4	8.619764309
SLX_14253_i709_i502	5	8.655312708
SLX_17312_i719_i521	2	8.682432381
SLX_14253_i710_i505	4	9.020595235
SLX_14259_i703_i510	5	9.033615891
SLX_14251_i701_i506	4	9.034121294
SLX_14253_i702_i504	5	9.255470077
SLX_14259_i728_i522	5	9.613824508
SLX_12100_i704_i508	5	9.617037557
SLX_12100_i710_i507	2	9.8468191
SLX_12100_i708_i505	5	10.24219888
SLX_14253_i711_i504	4	10.75607266
SLX_14254_i712_i507	4	10.76239551
SLX_14259_i711_i505	5	10.79898077
SLX_14252_i705_i505	5	11.66363542
SLX_14252_i707_i517	4	12.0323427
SLX_14252_i701_i508	9	12.82396269
SLX_17311_i726_i522	2	12.89482569
SLX_14252_i705_i508	4	13.21851599
SLX_14255_i702_i504	4	13.22793237
SLX_12100_i704_i502	5	13.24045026
SLX_17313_i722_i516	2	13.51169843
SLX_14253_i710_i507	4	13.525181
SLX_14259_i722_i520	6	13.86993213
SLX_14259_i715_i508	5	13.87628864
SLX_12100_i712_i507	5	13.90172358
SLX_17311_i715_i507	2	13.94088696
SLX_14259_i715_i502	4	14.46501473
SLX_14252_i705_i517	5	14.47951699
SLX_14259_i722_i521	4	14.48812081
SLX_12100_i703_i517	5	14.52197083
SLX_17311_i726_i517	5	14.53814737
SLX_14253_i710_i502	4	14.54344711
SLX_17311_i716_i515	5	14.73127576
SLX_14253_i702_i507	4	15.10505231
SLX_17311_i719_i522	4	15.11648668
SLX_14255_i705_i517	9	15.11922561
SLX_17312_i726_i516	6	15.14352842
SLX_14253_i701_i507	6	15.15413453
SLX_14252_i704_i504	4	15.74093018
SLX_14259_i706_i505	5	15.76580919
SLX_14252_i708_i517	5	15.79265974
SLX_17311_i701_i507	2	15.82510953
SLX_14259_i724_i520	4	15.82832156
SLX_14252_i707_i506	4	15.83334475
SLX_14259_i711_i511	5	15.87724464
SLX_14253_i703_i502	5	15.89735603
SLX_14253_i701_i505	5	16.55744107
SLX_14253_i701_i502	4	16.60234654
SLX_14252_i706_i517	5	16.71631961
SLX_14252_i706_i502	5	17.34799093
SLX_17313_i711_i511	2	17.35305594
SLX_14252_i708_i507	5	17.35930617
SLX_17312_i701_i506	2	17.37136179
SLX_17311_i714_i508	2	18.02286375
SLX_17312_i721_i522	2	18.68918289
SLX_14252_i707_i502	4	19.06601742
SLX_14253_i703_i503	6	19.06634235
SLX_14259_i712_i507	2	19.32173637
SLX_17312_i722_i516	4	19.33476969
SLX_14259_i727_i513	4	19.72108466
SLX_14251_i704_i517	4	19.99461322
SLX_17313_i721_i518	2	20.01114307
SLX_17311_i707_i503	2	20.02344299
SLX_17311_i722_i513	2	20.02358916
SLX_12100_i707_i507	4	20.40363867
SLX_14259_i719_i516	5	20.40766739
SLX_17313_i705_i511	4	21.08667017
SLX_14254_i708_i506	4	21.08993448
SLX_14259_i721_i515	4	21.11195706
SLX_14251_i707_i505	4	21.11857844
SLX_14259_i714_i507	5	21.7610001
SLX_17312_i715_i508	4	22.02894758
SLX_17311_i718_i513	2	22.04801299
SLX_14251_i704_i508	4	22.47583683
SLX_17311_i704_i511	4	22.49752917
SLX_14251_i705_i505	5	22.50429502
SLX_12100_i710_i506	5	22.70207271
SLX_14259_i706_i511	3	23.21524435
SLX_14251_i705_i508	4	23.25967007
SLX_14252_i707_i507	4	23.29047664
SLX_14255_i705_i507	5	23.41432303
SLX_14252_i704_i507	4	23.43081632
SLX_14252_i706_i503	5	24.11613206
SLX_14253_i702_i517	4	24.12519681
SLX_14259_i705_i506	5	24.76782402
SLX_14259_i706_i506	5	24.80298413
SLX_14251_i701_i502	4	25.50605057
SLX_14251_i707_i508	4	26.20585776
SLX_12100_i705_i508	6	26.91993546
SLX_14253_i704_i507	4	26.93698083
SLX_12100_i705_i502	4	27.10965105
SLX_14251_i708_i503	4	27.59090282
SLX_14253_i704_i517	4	27.59671424
SLX_14252_i706_i507	4	27.60177213
SLX_12100_i706_i503	5	27.64106385
SLX_14259_i703_i507	5	28.3364659
SLX_12100_i711_i503	4	28.69816309
SLX_17311_i720_i520	2	29.02001051
SLX_17312_i727_i517	2	29.02263778
SLX_14251_i703_i508	2	29.0454459
SLX_14253_i710_i508	4	29.72611195
