GeneID,BC1,BC2,BC3,,,,,
AT1G01890,0.0 ,0.0 ,0.0 ,,,,,
AT1G01900,0.0 ,1.9 ,0.0 ,,,,,
AT1G01910,137.4 ,117.6 ,142.9 ,,,,,
AT1G01920,136.2 ,125.7 ,131.5 ,,,,,
AT1G01930,16.2 ,14.3 ,17.8 ,,,,,
AT1G01940,132.4 ,111.9 ,134.1 ,,,,,
AT1G01950,11.6 ,10.4 ,9.8 ,,,,,
AT1G01960,9.8 ,9.8 ,10.7 ,,,,,
AT1G01970,8.6 ,8.2 ,7.9 ,,,,,
AT1G01980,0.0 ,0.0 ,0.0 ,,,,,
AT1G01990,8.6 ,8.0 ,7.3 ,,,,,
AT1G02000,21.2 ,15.6 ,18.4 ,,,,,
AT1G02010,4.4 ,4.5 ,5.7 ,,,,,
AT1G02020,12.5 ,10.5 ,8.4 ,,,,,
AT1G02030,0.0 ,0.0 ,0.0 ,,,,,
AT1G02040,0.0 ,0.0 ,0.0 ,,,,,
AT1G02050,18.1 ,15.2 ,18.4 ,,,,,
AT1G02060,8.3 ,7.3 ,6.7 ,,,,,
AT1G02065,0.0 ,0.0 ,0.0 ,,,,,
AT1G02070,0.0 ,0.0 ,0.0 ,,,,,
AT1G02074,0.0 ,0.0 ,0.0 ,,,,,
AT1G02080,17.5 ,19.2 ,16.1 ,,,,,
AT1G02090,134.8 ,138.1 ,137.3 ,,,,,
AT1G02100,63.8 ,58.4 ,65.1 ,,,,,
AT1G02110,1.7 ,3.0 ,1.6 ,,,,,
AT1G02120,21.9 ,35.8 ,22.0 ,,,,,
AT1G02130,183.5 ,165.1 ,192.8 ,,,,,
AT1G02140,300.9 ,344.9 ,333.8 ,,,,,
AT1G02145,56.4 ,57.4 ,55.4 ,,,,,
AT1G02150,36.6 ,31.3 ,35.3 ,,,,,
AT1G02160,24.4 ,27.3 ,32.6 ,,,,,
AT1G02170,80.9 ,77.2 ,80.1 ,,,,,
AT1G02180,10.9 ,8.4 ,10.1 ,,,,,
AT1G02190,0.0 ,0.0 ,0.0 ,,,,,
AT1G02205,0.0 ,0.0 ,0.0 ,,,,,
AT1G02210,0.0 ,0.0 ,0.0 ,,,,,
AT1G02220,0.0 ,0.0 ,0.0 ,,,,,
AT1G02228,0.0 ,0.0 ,0.0 ,,,,,
AT1G02230,0.0 ,0.0 ,0.0 ,,,,,
AT1G02250,0.1 ,0.0 ,0.0 ,,,,,
AT1G02260,36.3 ,37.3 ,32.0 ,,,,,
AT1G02270,17.7 ,15.4 ,19.4 ,,,,,
AT1G02280,78.9 ,75.9 ,79.6 ,,,,,
AT1G02290,9.1 ,8.9 ,12.7 ,,,,,
AT1G02300,0.0 ,0.0 ,0.0 ,,,,,
AT1G02305,0.1 ,0.1 ,3.0 ,,,,,
AT1G02310,0.0 ,0.0 ,0.0 ,,,,,
AT1G02320,0.0 ,0.0 ,0.0 ,,,,,
AT1G02330,71.1 ,68.9 ,70.2 ,,,,,
AT1G02335,0.0 ,0.0 ,0.0 ,,,,,
AT1G02340,0.0 ,0.0 ,0.0 ,,,,,
AT1G02350,1.9 ,1.7 ,2.1 ,,,,,
AT1G02360,0.0 ,0.0 ,0.0 ,,,,,
AT1G02370,39.9 ,51.8 ,40.5 ,,,,,
AT1G02380,0.0 ,0.2 ,0.2 ,,,,,
AT1G02390,53.0 ,51.5 ,52.0 ,,,,,
AT1G02391,0.0 ,0.0 ,0.0 ,,,,,
AT1G02400,0.0 ,3.6 ,0.0 ,,,,,
AT1G02405,0.0 ,0.0 ,0.0 ,,,,,
AT1G02410,151.3 ,139.3 ,156.2 ,,,,,
AT1G02420,8.6 ,7.5 ,8.1 ,,,,,
AT1G02430,0.3 ,0.0 ,0.2 ,,,,,
AT1G02440,0.0 ,0.0 ,0.0 ,,,,,
AT1G02450,0.0 ,0.0 ,0.0 ,,,,,
AT1G02460,0.0 ,0.0 ,0.0 ,,,,,
AT1G02470,0.0 ,0.0 ,0.0 ,,,,,
AT1G02475,17.2 ,16.4 ,16.8 ,,,,,
AT1G02480,0.0 ,0.0 ,0.0 ,,,,,
AT1G02490,0.0 ,0.0 ,0.0 ,,,,,
AT1G02500,249.0 ,232.7 ,227.3 ,,,,,
AT1G02510,0.0 ,0.0 ,0.0 ,,,,,
AT1G02520,21.1 ,24.7 ,23.5 ,,,,,
AT1G02530,0.0 ,0.0 ,0.0 ,,,,,
AT1G02540,0.0 ,0.0 ,0.0 ,,,,,
AT1G02550,0.0 ,0.0 ,0.0 ,,,,,
AT1G02560,32.3 ,48.4 ,28.4 ,,,,,
AT1G02570,0.0 ,0.0 ,0.0 ,,,,,
AT1G02575,0.0 ,0.0 ,0.0 ,,,,,
AT1G02580,0.0 ,0.0 ,0.0 ,,,,,
AT1G02590,0.0 ,0.0 ,0.0 ,,,,,
AT1G02600,0.0 ,0.0 ,0.0 ,,,,,
AT1G02610,21.6 ,20.1 ,23.9 ,,,,,
AT1G02620,11.1 ,7.3 ,9.0 ,,,,,
AT1G02630,0.0 ,0.0 ,0.0 ,,,,,
AT1G02640,9.0 ,7.6 ,9.0 ,,,,,
AT1G02650,0.0 ,0.0 ,0.0 ,,,,,
AT1G02660,3.4 ,3.7 ,5.1 ,,,,,
AT1G02670,6.5 ,5.4 ,7.6 ,,,,,
AT1G02680,32.2 ,29.8 ,33.1 ,,,,,
AT1G02690,369.3 ,358.9 ,367.5 ,,,,,
AT1G02700,0.0 ,0.2 ,1.3 ,,,,,
AT1G02710,0.0 ,0.0 ,0.0 ,,,,,
AT1G02720,24.5 ,22.4 ,24.4 ,,,,,
AT1G02730,1.5 ,1.2 ,2.0 ,,,,,
AT1G02740,11.0 ,11.2 ,11.9 ,,,,,
AT1G02750,11.9 ,22.8 ,13.4 ,,,,,
AT1G02760,0.0 ,0.0 ,0.0 ,,,,,
AT1G02770,65.3 ,59.7 ,64.3 ,,,,,
AT1G02780,1267.5 ,1281.3 ,1266.5 ,,,,,
AT1G02790,24.7 ,20.1 ,23.7 ,,,,,
AT1G02800,0.0 ,0.0 ,0.0 ,,,,,
AT1G02810,0.0 ,0.0 ,0.0 ,,,,,
AT1G02813,0.0 ,0.0 ,0.0 ,,,,,
AT1G02816,13.5 ,20.5 ,16.2 ,,,,,
AT1G02820,0.0 ,0.0 ,0.0 ,,,,,
AT1G02830,0.0 ,0.0 ,0.0 ,,,,,
AT1G02840,185.3 ,213.4 ,169.3 ,,,,,
AT1G02850,0.0 ,0.0 ,0.0 ,,,,,
AT1G02860,142.0 ,157.4 ,155.1 ,,,,,
AT1G02870,55.7 ,74.8 ,56.3 ,,,,,
AT1G02880,1.1 ,16.9 ,3.3 ,,,,,
AT1G02890,19.1 ,20.3 ,20.9 ,,,,,
AT1G02900,0.0 ,0.0 ,0.0 ,,,,,
AT1G02910,28.4 ,23.8 ,27.3 ,,,,,
AT1G02920,0.0 ,0.0 ,0.0 ,,,,,
AT1G02930,0.0 ,0.0 ,0.0 ,,,,,
AT1G02940,0.0 ,0.0 ,0.0 ,,,,,
AT1G02950,0.0 ,0.0 ,0.0 ,,,,,
AT1G02952,0.0 ,0.0 ,0.0 ,,,,,
AT1G02960,17.3 ,23.8 ,23.1 ,,,,,
AT1G02965,0.0 ,0.0 ,0.0 ,,,,,
AT1G02970,41.2 ,42.0 ,45.6 ,,,,,
AT1G02980,18.3 ,16.5 ,23.2 ,,,,,
AT1G02990,10.4 ,10.6 ,9.3 ,,,,,
AT1G03000,11.6 ,22.3 ,15.4 ,,,,,
AT1G03010,0.0 ,0.0 ,0.0 ,,,,,
AT1G03020,0.0 ,0.0 ,0.0 ,,,,,
AT1G03022,0.0 ,0.0 ,0.0 ,,,,,
AT1G03030,122.6 ,112.6 ,120.9 ,,,,,
AT1G03040,18.2 ,35.7 ,22.3 ,,,,,
AT1G03050,0.0 ,0.0 ,0.0 ,,,,,
AT1G03055,0.0 ,0.0 ,0.0 ,,,,,
AT1G03060,1.5 ,3.1 ,1.4 ,,,,,
AT1G03070,0.0 ,3.8 ,4.6 ,,,,,
AT1G03080,0.0 ,1.1 ,1.5 ,,,,,
AT1G03090,44.9 ,38.3 ,47.7 ,,,,,
AT1G03100,0.8 ,0.5 ,1.0 ,,,,,
AT1G03103,0.0 ,0.0 ,0.0 ,,,,,
AT1G03106,0.0 ,0.0 ,0.0 ,,,,,
AT1G03110,121.0 ,119.6 ,112.1 ,,,,,
AT1G03120,24.7 ,17.0 ,25.3 ,,,,,
AT1G03130,9.9 ,9.9 ,9.2 ,,,,,
AT1G03140,69.5 ,67.1 ,73.2 ,,,,,
AT1G03150,42.8 ,37.9 ,37.7 ,,,,,
AT1G03160,4.1 ,3.8 ,8.0 ,,,,,
AT1G03170,0.0 ,0.0 ,0.0 ,,,,,
